L10_V001,30604
L10_V001,30319
L10_V001,30444
L10_V001,30750
L12_V015,14769
L12_V015,14936
L12_V015,15065
L10_V005,20343
L10_V005,20490
L10_V005,20639
L10_V001,30604
L10_V001,30319
L10_V001,30444
L10_V001,30750
L10_V001,30864
L10_V005,20639
L10_V005,20353
L10_V005,20490
L10_V005,20644
L10_V005,20766
L12_V015,14610
L12_V015,14369
L12_V015,14519
L12_V015,14769
L12_V015,14936
L12_V015,11790
L12_V015,11550
L12_V015,11670
L12_V015,11940
L12_V015,12030
L05_V015,27461
L05_V015,27152
L05_V015,27286
L05_V015,27594
L05_V015,27750
L10_V015,17372
L10_V015,17102
L10_V015,17247
L10_V015,17497
L10_V015,17621
L12_V015,14369
L12_V015,14100
L12_V015,14231
L12_V015,14519
L12_V015,14610
L02_V027,18020
L02_V027,17742
L02_V027,17897
L02_V027,18126
L02_V027,18289
L10_V015,12428
L10_V015,12270
L10_V015,12303
L10_V015,12558
L10_V015,12637
L12_V015,14519
L12_V015,14231
L12_V015,14369
L12_V015,14610
L12_V015,14769
L09_V028,30718
L09_V028,30452
L09_V028,30593
L09_V028,30748
L09_V028,30861
L10_V005,19429
L10_V005,19281
L10_V005,19354
L10_V005,19557
L10_V005,19682
L05_V029,18490
L05_V029,18372
L05_V029,18390
L05_V029,18601
L05_V029,18750
L10_V009,21600
L10_V009,21450
L10_V009,21569
L10_V009,21719
L10_V009,21750
L10_V001,30444
L10_V001,30294
L10_V001,30319
L10_V001,30604
L10_V001,30750
L09_V028,30593
L09_V028,30327
L09_V028,30452
L09_V028,30718
L09_V028,30748
L10_V009,20700
L10_V009,20550
L10_V009,20616
L10_V009,20799
L10_V009,20850
L04_V026,10696
L04_V026,10522
L04_V026,10558
L04_V026,10818
L04_V026,10988
L10_V003,31360
L10_V003,31185
L10_V003,31235
L10_V003,31485
L10_V003,31610
L02_V027,17553
L02_V027,17279
L02_V027,17381
L02_V027,17647
L02_V027,17742
L10_V003,32295
L10_V003,32202
L10_V003,32277
L10_V003,32420
L10_V003,32552
L10_V015,17247
L10_V015,17002
L10_V015,17102
L10_V015,17372
L10_V015,17497
L03_V007,22215
L03_V007,21995
L03_V007,22139
L03_V007,22301
L03_V007,22476
L10_V015,17102
L10_V015,16879
L10_V015,17002
L10_V015,17247
L10_V015,17372
L04_V026,13960
L04_V026,13638
L04_V026,13805
L04_V026,14001
L04_V026,14071
L10_V005,19354
L10_V005,19156
L10_V005,19281
L10_V005,19429
L10_V005,19557
L09_V013,28139
L09_V013,27998
L09_V013,28075
L09_V013,28220
L09_V013,28269
L03_V003,7278
L03_V003,7067
L03_V003,7192
L03_V003,7370
L03_V003,7530
L02_V027,17108
L02_V027,16769
L02_V027,16933
L02_V027,17279
L02_V027,17381
L10_V015,17497
L10_V015,17247
L10_V015,17372
L10_V015,17621
L10_V015,17796
L10_V005,19682
L10_V005,19429
L10_V005,19557
L10_V005,19807
L10_V005,19942
L01_V026,7341
L01_V026,7127
L01_V026,7288
L01_V026,7420
L01_V026,7567
L10_V009,20616
L10_V009,20400
L10_V009,20550
L10_V009,20700
L10_V009,20799
L10_V003,31485
L10_V003,31235
L10_V003,31360
L10_V003,31610
L10_V003,31735
L10_V003,30843
L10_V003,30668
L10_V003,30718
L10_V003,30968
L10_V003,31093
L09_V028,30327
L09_V028,30179
L09_V028,30202
L09_V028,30452
L09_V028,30593
L04_V014,5022
L04_V014,4730
L04_V014,4877
L04_V014,5124
L04_V014,5199
L02_V027,17381
L02_V027,17108
L02_V027,17279
L02_V027,17553
L02_V027,17647
L03_V009,18116
L03_V009,17863
L03_V009,17997
L03_V009,18241
L03_V009,18383
L10_V005,20490
L10_V005,20343
L10_V005,20353
L10_V005,20639
L10_V005,20644
L04_V003,17740
L04_V003,17610
L04_V003,17639
L04_V003,17819
L04_V003,17909
L10_V003,32420
L10_V003,32277
L10_V003,32295
L10_V003,32552
L10_V003,32557
L01_V015,22254
L01_V015,21958
L01_V015,22111
L01_V015,22329
L01_V015,22360
L09_V028,30452
L09_V028,30202
L09_V028,30327
L09_V028,30593
L09_V028,30718
L10_V005,20644
L10_V005,20490
L10_V005,20639
L10_V005,20766
L10_V005,20901
L03_V025,28057
L03_V025,27810
L03_V025,27960
L03_V025,28202
L03_V025,28342
L04_V026,14121
L04_V026,14001
L04_V026,14071
L04_V026,14258
L04_V026,14316
L10_V009,21796
L10_V009,21719
L10_V009,21750
L10_V009,21900
L10_V009,21906
