L11_V020,1455,700
L11_V020,1299,700
L11_V020,1424,700
L11_V020,1505,700
L11_V020,1555,700
L11_V020,411,700
L11_V020,250,700
L11_V020,380,700
L11_V020,511,700
L11_V020,636,700
L02_V014,9985,700
L02_V014,9828,700
L02_V014,9916,700
L02_V014,10092,700
L02_V014,10262,700
L07_V031,2047,700
L07_V031,1770,700
L07_V031,1918,700
L07_V031,2203,700
L07_V031,2280,700
L01_V019,4691,700
L01_V019,4466,700
L01_V019,4542,700
L01_V019,4828,700
L01_V019,4975,700
L08_V011,20130,700
L08_V011,19863,
L08_V011,19994,
L08_V011,20261,
L08_V011,20280,
L02_V011,7644,
L02_V011,7368,
L02_V011,7470,
L02_V011,7770,
L02_V011,7881,
L03_V012,2626,
L03_V012,2460,
L03_V012,2568,
L03_V012,2711,
L03_V012,2764,
L12_V020,453,
L12_V020,326,
L12_V020,425,
L12_V020,577,
L12_V020,702,
L01_V014,17290,
L01_V014,16962,
L01_V014,17117,
L01_V014,17365,
L01_V014,17457,
